S No.,Title,Decisions,Words
2151,"Valuation of TCS well deserved, likely to sustain: UBS","{""TCS"": ""positive"", ""UBS"": ""neutral""}",9
2152,"Valuations steep, but Monte Carlo IPO worth a shot","{""Monte Carlo"": ""neutral""}",9
2153,Vodafone India logs 16.5 pc growth in first-half revenue,"{""Vodafone India"": ""positive""}",9
2154,Volatile AstraZeneca Pharma rallies nearly 9% on de-listing plans,"{""AstraZeneca Pharma"": ""positive""}",9
2155,Wall Street ends up; financials gain with bond yields,"{""Wall Street"": ""positive""}",9
2156,Welspun Corp spurts over 12% on big order win,"{""Welspun Corp"": ""positive""}",9
2157,Whirlpool Q3 net up 49.13% to Rs 24.10 cr,"{""Whirlpool"": ""positive""}",9
2158,"WNS Q1 profit beats estimates, raises FY revenue guidance","{""WNS"": ""positive""}",9
2159,World stocks hold at all-hit time after bumper week,"{""World stocks"": ""positive""}",9
2160,World stocks hold at all-time high after bumper week,"{""World stocks"": ""positive""}",9
2161,Yes Bank net profit rises 58% Rs 176.26 cr,"{""Yes Bank"": ""positive""}",9
2162,Zee Entertainment shares soars as Q2 net profit rises,"{""Zee Entertainment"": ""positive""}",9
2163,10-yr bonds hit over 4-month high; RBI chief comments aid,"{""10-yr bond"": ""positive"", ""RBI"": ""neutral""}",10
2164,3i Infotech: Sale of low-margin biz to help boost profitability,"{""3i Infotech"": ""positive""}",10
2165,"4950-5000 range should see a technical bounce: Anil Manghnani, eqwise.in","{""eqwise.in"": ""neutral""}",10
2166,8330 should act as immediate support for Nifty: Mitesh Thacker,"{""Nifty"": ""neutral""}",10
2167,Aban has the potential to go beyond 840: Sandeep Wagle,"{""Aban"": ""positive""}",10
2168,Abbott India Q1 net up 71% to Rs 51 crore,"{""Abbott India"": ""positive""}",10
2169,ABG Shipyard may move up in near term: Avinnash Gorakssakar,"{""ABG Shipyard"": ""positive""}",10
2170,Aditya Birla Nuvo to have good going ahead: Deepak Mohoni,"{""Aditya Birla Nuvo"": ""positive""}",10
2171,"Agrochemicals top space choice, can sustain higher growth: Dhiraj Sachdev","{""Agrochemicals"": ""positive""}",10
2172,Airline stocks soar as lower oil prices bring down fares,"{""Airline stocks"": ""positive""}",10
2173,Airlines surge over 6% on new draft civil aviation policy,"{""Airlines"": ""positive""}",10
2174,Akzo Nobel Q2 profit up 5.98% at Rs 35.75 crore,"{""Akzo Nobel"": ""positive""}",10
2175,Alembic Pharma Q1 net up 38.65% at Rs 64.67 crore,"{""Alembic Pharma"": ""positive""}",10
2176,Allahabad Bank's net profit rises 25% at Rs 158 crore,"{""Allahabad Bank"": ""positive""}",10
2177,Alstom T&D's January-March profit jumps 17% to Rs 62.24 crore,"{""Alstom T&D"": ""positive""}",10
2178,Amara Raja Batteries offers a good buying opportunity for investors,"{""Amara Raja Batteries"": ""positive""}",10
2179,Amtek Auto rallies over 8% on acquisition plans in Germany,"{""Amtek Auto"": ""positive""}",10
2180,APL Apollo Tubes hits record high; HDFC MF buys shares,"{""APL Apollo Tubes"": ""positive"", ""HDFC"": ""neutral""}",10
2181,ARSS Infra PAT up by 2% at Rs 26.11 cr,"{""ARSS Infra"": ""positive""}",10
2182,Asia shares gain as Greece defaults on loan with IMF,"{""Asia shares"": ""positive""}",10
2183,Asian Paints acquires 96.48% stake in Berger; open offer ends,"{""Berger"": ""neutral"", ""Asian Paints"": ""neutral""}",10
2184,AstraZeneca Dec qtr net up 28.26% at Rs 28.32 cr,"{""AstraZeneca"": ""positive""}",10
2185,"At Rs 22 lakh, MRF is most costly futures contract","{""MRF"": ""neutral""}",10
2186,"Bajaj Auto: Higher input costs offset sales gain, hit margins","{""Bajaj Auto"": ""negative""}",10
2187,Bayer Crop Science will be generous to shareholders: Jagdish Malkani,"{""Bayer Crop Science"": ""positive""}",10
2188,Berger Paints Q3 net up 31.44% to Rs 43.85 cr,"{""Berger Paints"": ""positive""}",10
2189,Bharat Forge Q1 net up 60% at Rs 145 crore,"{""Bharat Forge"": ""positive""}",10
2190,BofA-ML sees nearly 20% upside in Maruti Suzuki; reiterate 'buy',"{""Maruti Suzuki"": ""positive"", ""BofA-ML"": ""neutral""}",10
2191,BofA-ML's three positives for Indian markets; recommends 'buy' on dips,"{""BofA-ML"": ""neutral""}",10
2192,"Bond funds worldwide attract $204 billon inflows, beat stocks: BofA","{""BofA"": ""neutral""}",10
2193,Boost in US's macro-economic situation may trigger Wipro's revenue growth,"{""Wipro"": ""positive""}",10
2194,"Brent holds above $107 on US crude draw, China data","{""Brent"": ""positive""}",10
2195,Britania Industries Q3 Net up 62.1% at Rs 100.56 cr,"{""Britania Industries"": ""positive""}",10
2196,Britannia FY-11 net profit up 30.19% at Rs 134.34 crore,"{""Britannia"": ""positive""}",10
2197,"Britannia sales rise 11 per cent in Q1, margins improve","{""Britannia"": ""positive""}",10
2198,Brokerages up target price for Tech Mahindra post Comviva buy,"{""Tech Mahindra"": ""positive""}",10
2199,bullish on IT for whole of this year: Anand Tandon,"{""IT"": ""positive""}",10
2200,Buy Hindalco with a target of Rs 141: Prakash Gaba,"{""Hindalco"": ""positive""}",10
2201,"Calculus: Recovery in China, new models may help Tata Motors","{""Tata Motors"": ""positive""}",10
2202,Calvin Klein deal to help Arvind rise the market ladder,"{""Arvind"": ""positive"", ""Calvin Klein"": ""neutral""}",10
2203,Camson Biotech net profit jumps 162 pc in Q4 FY11,"{""Camson Biotech"": ""positive""}",10
2204,Ceat shares up over 4% after workers call off strike,"{""Ceat shares"": ""positive""}",10
2205,Cement stocks are likely to go up higher: Vijay Bhambwani,"{""Cement stocks"": ""positive""}",10
2206,Cera Sanitaryware Q3 net up 50.18% at Rs 16.16 crore,"{""Cera Sanitaryware"": ""positive""}",10
2207,"CESC: Tariff hike to improve cash flow, boost business plans","{""CESC"": ""positive""}",10
2208,Cheaper raw materials lift India Inc margins for June quarter,"{""India Inc"": ""positive""}",10
2209,Chennai Petroleum Q2 profit soars 2-fold to Rs 120.34 crore,"{""Chennai Petroleum"": ""positive""}",10
2210,Chilli teja futures surge 3.25 per cent on strong demand,"{""Chilli teja futures"": ""positive""}",10
2211,"China shares end at 7-1/2-month high; finance, coal firms rise","{""China shares"": ""positive"", ""finance, coal firms"": ""positive""}",10
2212,China yuan rises for the 5th day despite weaker fixing,"{""China yuan"": ""positive""}",10
2213,China yuan set to show biggest advance in 6 weeks,"{""China yuan"": ""positive""}",10
2214,Cipla pares gains after rallying nearly 6% post Q3 results,"{""Cipla"": ""positive""}",10
2215,CNX IT's gains could pull the Nifty up: Mitesh Thacker,"{""CNX IT"": ""positive"", ""Nifty"": ""positive""}",10
2216,"CNX Pharma at record high; Sun Pharma, Ranbaxy on roll","{""CNX Pharma"": ""positive"", ""Sun Pharma"": ""positive"", ""Ranbaxy"": ""positive""}",10
2217,Cocoa rises on speculation on rebuilding stocks by chocolate makers,"{""Cocoa"": ""positive""}",10
2218,"Colgate attractive on hopes of higher payout, ad spend cut","{""Colgate"": ""positive""}",10
2219,Colgate declares second interim dividend of Rs 9 per share,"{""Colgate"": ""neutral""}",10
2220,Colgate-Palmolive Q2 net profit up 11.8% at Rs 100 cr,"{""Colgate-Palmolive"": ""positive""}",10
2221,Commexes' turnover up 55 pc till Oct 15 this fiscal,"{""Commexes"": ""positive""}",10
2222,Container Corporation Q3 Net up 5.4% at Rs 249.5 crore,"{""Container Corporation"": ""positive""}",10
2223,"Continue to be bullish on Nifty: Kunal Saraogi, Technical Analyst","{""Nifty"": ""positive""}",10
2224,Coriander futures up 3.73 per cent on surge in demand,"{""Coriander futures"": ""positive""}",10
2225,Corp Bank's Q2 net jumps 10-fold to Rs 160 crore,"{""Corp Bank"": ""positive""}",10
2226,Cotton rally forces textile mills to go for small buys,"{""Cotton"": ""positive""}",10
2227,Cotton rises 10% on demand for exports and local consumption,"{""Cotton"": ""positive""}",10
2228,"Credit Suisse raises target prices of cement majors, ACC upgraded","{""ACC"": ""positive"", ""cement majors"": ""positive"", ""Credit Suisse"": ""neutral""}",10
2229,Crompton Greaves Q1 net up 6.55% to Rs 64.02 crore,"{""Crompton Greaves"": ""positive""}",10
2230,Crompton Greaves rallies over 4% on land parcel deal report,"{""Crompton Greaves"": ""positive""}",10
2231,Crompton Greaves surges over 4% as company sells Mumbai land,"{""Crompton Greaves"": ""positive""}",10
2232,Crude palm oil futures up on rise in spot demand,"{""Crude palm oil futures"": ""positive""}",10
2233,DCM Shriram net rises 300 pc to Rs 36 crore,"{""DCM Shriram"": ""positive""}",10
2234,"Debt-heavy companies make the most of rate surprises, stocks surge","{""Debt-heavy companies"": ""positive""}",10
2235,"Despite early chill,2014 to be hot year for equities: Deutsche","{""Deutsche"": ""neutral""}",10
2236,Development Credit Bank's Q1 net soars to Rs 43 cr,"{""Development Credit Bank"": ""positive""}",10
2237,DHFL Q1 net profit up 22% at Rs 147.15 cr,"{""DHFL"": ""positive""}",10
2238,Discom loan recast to power up shares of PSU banks,"{""PSU banks"": ""positive""}",10
2239,"Earnings outlook strong, keep on buying Eicher Motors: Hemindra Hazari","{""Eicher Motors"": ""positive""}",10
2240,ECL Finance debenture issue fully subscribed; raises Rs 500 crore,"{""ECL Finance"": ""positive""}",10
2241,Eicher Motors gains 2.4%; CLSA initates coverage with 'buy' rating,"{""Eicher Motors"": ""positive"", ""CLSA"": ""neutral""}",10
2242,"EIH to raise over Rs 1,160 cr through rights issue","{""EIH"": ""neutral""}",10
2243,Emami Q3 profit rises 31 pc to Rs 150.68 crore,"{""Emami"": ""positive""}",10
2244,ENIL's charts look healthy from short-medium term perspective: Deepak Mohoni,"{""ENIL"": ""positive""}",10
2245,Eros International at 10% premium; sees high of Rs 213.95,"{""Eros International"": ""positive""}",10
2246,Escorts rallies over 30% in six sessions; more upside seen,"{""Escorts"": ""positive""}",10
2247,Escorts seeks to revive earnings with focus on high-end products,"{""Escorts"": ""positive""}",10
2248,Ethanol acts as lone bright spot amid China commodity gloom,"{""Ethanol"": ""positive""}",10
2249,"Euro resilient near highs, to test ECB threat on currency","{""Euro"": ""positive""}",10
2250,EXL Services Q1 net up 48.69 pc at $8.36 mn,"{""EXL Services"": ""positive""}",10
2251,Exposure of institutional investors to auto sector at four-year high,"{""auto sector"": ""positive""}",10
2252,Farmers reap a tidy profit as turmeric prices shoot up,"{""turmeric"": ""positive""}",10
2253,Favour private sector banks in the banking space: Deven Choksy,"{""private sector banks"": ""positive""}",10
2254,Festive season demand lifts crude palm oil futures by 1.10%,"{""crude palm oil futures"": ""positive""}",10
2255,Festive season to bring traction for auto space: Deven Choksey,"{""auto space"": ""positive""}",10
2256,Festive time: Jewellery makers rally upto 48% ahead of Diwali,"{""Jewellery makers"": ""positive""}",10
2257,"Force Motors a multibagger in making, says Daljeet Singh Kohli","{""Force Motors"": ""positive""}",10
2258,"Foreing money inflow a positive developlment: Hemang Jani,  Sharekhan","{""Sharekhan"": ""neutral""}",10
2259,Forward Markets Commission unveils uniform norms for accreditation of warehouses,"{""Forward Markets Commission"": ""neutral""}",10
2260,GAIL standalone net profit at Rs 3561 cr; stock up,"{""GAIL"": ""positive""}",10
2261,Gati Ltd surges as Macquarie buys stake from open market,"{""Gati Ltd"": ""positive"", ""Macquarie"": ""neutral""}",10
2262,Gemini Communications Q4 net jumps over 3-fold to Rs 15.75cr,"{""Gemini Communications"": ""positive""}",10
2263,"Gitanjali Gems Q3 PAT Rs 101.6 cr, up 147% YoY","{""Gitanjali Gems"": ""positive""}",10
2264,Godrej Industries Q2 net up 12.5% to Rs 75 cr,"{""Godrej Industries"": ""positive""}",10
2265,Godrej Industries Q4 net up 42% at Rs 108.76 cr,"{""Godrej Industries"": ""positive""}",10
2266,Gold climbs after reports of US strikes on ISIS militants,"{""Gold"": ""positive""}",10
2267,"Gold holds above $1,300, focus on US Federal policy meeting","{""Gold"": ""positive""}",10
2268,Gold near 3-month high on second day of fund inflows,"{""Gold"": ""positive""}",10
2269,Goldman Sachs raises 2015 oil price forecasts; cuts 2016 outlook,"{""oil"": ""positive"", ""Goldman Sachs"": ""neutral""}",10
2270,Goodyear India Q2 net up 13% at Rs 29 crore,"{""Goodyear India"": ""positive""}",10
2271,Greece hopes keep euro near 3-week high vs stalling dollar,"{""euro"": ""positive"", ""dollar"": ""negative""}",10
2272,Greenply Industries Q2 Net up 39% to Rs 37.03 crore,"{""Greenply Industries"": ""positive""}",10
2273,GSK raises India unit stake to 75% via open offer,"{""GSK"": ""positive""}",10
2274,"Gulf markets edge up on positive Q4 bank results, dividends","{""Gulf markets"": ""positive""}",10
2275,GVK Power can go up to 14-15 levels: Vijay Bhambwani,"{""GVK Power"": ""positive""}",10
2276,GVK's net loss shrinks to Rs 45 crore in Q3,"{""GVK"": ""positive""}",10
2277,Havells India shares surge over 12 pc after stock split,"{""Havells India"": ""positive""}",10
2278,"HDFC Bank misses estimates on provisions, Q1 net up 20%","{""HDFC Bank"": ""positive""}",10
2279,Higher FPI limit to help Maruti drive into MSCI India,"{""Maruti"": ""positive"", ""MSCI India"": ""neutral""}",10
2280,Hindalco shares surge over 3% as company bags maximum mines,"{""Hindalco"": ""positive""}",10
2281,Hindustan Media Ventures Q4 net profit up 20 per cent,"{""Hindustan Media Ventures"": ""positive""}",10
2282,Hot Stock: Brokerages expect sharp gains in Larsen & Toubro,"{""Larsen & Toubro"": ""positive""}",10
2283,Hotel Leela gains 4.5% on completion of Goa property sale,"{""Hotel Leela"": ""positive""}",10
2284,Housing finance companies among NBFCs should do well: Ajay Bagga,"{""Housing finance companies"": ""positive""}",10
2285,HSIL Q4 net profit up 4.56% at Rs 32.31 crore,"{""HSIL"": ""positive""}",10
2286,"HUL at fresh 52-week high; stock outperforms peers, FMCG index","{""HUL"": ""positive""}",10
2287,"Hyundai Motor up more than 4%, rebounding from recent falls","{""Hyundai Motor"": ""positive""}",10
2288,ICICI Prudential Life profit up 3-fold at Rs 808 cr,"{""ICICI Prudential Life"": ""positive""}",10
2289,Icra hits record high as Moodys ups stake to 50%,"{""Icra"": ""positive"", ""Moodys"": ""neutral""}",10
2290,IDBI Bank gains on plan to sell stake in CARE,"{""IDBI Bank"": ""positive""}",10
2291,"Idea kicks off No-Deal Road Show for Rs 3,000-crore QIP","{""Idea"": ""neutral""}",10
2292,"IDFC Ltds Rs 1,000 crore QIP draws big investor interest","{""IDFC Ltd"": ""positive""}",10
2293,Indians on spending spree: Time to nibble at discretionary stocks,"{""discretionary stocks"": ""positive""}",10
2294,Indraprastha Gas gains 2% as govt defers gas price hike,"{""Indraprastha Gas"": ""positive""}",10
2295,Infosys' stock to really pick up post restructuring: Manish Sonthalia,"{""Infosys"": ""positive""}",10
2296,Infrastructure stocks rally as FM cuts withholding tax to 5%,"{""Infrastructure stocks"": ""positive""}",10
2297,ING Vysya Investment sees Sensex gains from H2 of 2012,"{""Sensex"": ""positive"", ""ING Vysya Investment"": ""neutral""}",10
2298,Inox Wind marks splendid debut; shares soar 35.5 per cent,"{""Inox Wind"": ""positive""}",10
2299,Invest in Sharda Chropchem from a long-term perspective: Sudip Bandyopadhyay,"{""Sharda Chropchem"": ""positive""}",10
2300,"Invetsors, asset managers keep faith in Nestle despite Maggi row","{""Nestle"": ""positive""}",10
2301,IRB better bet than ARSS in infra pack: Technical Trends,"{""IRB"": ""positive"", ""ARSS"": ""negative""}",10
2302,It is 'wait n watch' for Tata Steel: IDBI Capital,"{""Tata Steel"": ""positive"", ""IDBI Capital"": ""neutral""}",10
2303,Jain Irrigation rallies post Q4 results; net profit up 31%,"{""Jain Irrigation"": ""positive""}",10
2304,Jaiprakash Associates Q1 standalone Net shoots to Rs 334 crore,"{""Jaiprakash Associates"": ""positive""}",10
2305,JBML Q2 net profit jump two-fold at Rs 10.30 cr,"{""JBML"": ""positive""}",10
2306,"Jet Airways: Sustained efforts promise good results ahead, risks persist","{""Jet Airways"": ""positive""}",10
2307,Jewellers shine as RBI removes restriction on gold coin imports,"{""Jewellers"": ""positive""}",10
2308,JK Paper mulls pulp mill in South Asia; stock up,"{""JK Paper"": ""positive""}",10
2309,"JKumar Infra rallies 10% on strong net profit, order win","{""JKumar Infra"": ""positive""}",10
2310,JPX-Nikkei 400 futures debut amid growing return on equity interest,"{""JPX-Nikkei 400 futures"": ""neutral""}",10
2311,JSW Steel Q1 steel production up 1% at 2.86 MT,"{""JSW Steel"": ""positive""}",10
2312,Just Dial shares rally 8 per cent on expansion buzz,"{""Just Dial"": ""positive""}",10
2313,Jyothy Laboratories Q3 net jumps 63.11% to Rs 27.37 crore,"{""Jyothy Laboratories"": ""positive""}",10
2314,Kajaria Ceramics Q1 net up 50% at Rs 39 crore,"{""Kajaria Ceramics"": ""positive""}",10
2315,Kajaria Ceramics Q4 net up 37% at Rs 42.11 cr,"{""Kajaria Ceramics"": ""positive""}",10
2316,Kansai Nerolac Q2 net climbs 33% to Rs 97 crore,"{""Kansai Nerolac"": ""positive""}",10
2317,Karur Vysya Bank rallies over 2% on share sale plan,"{""Karur Vysya Bank"": ""positive""}",10
2318,Kirloskar Brothers posts Rs 19.7 crore profit in December quarter,"{""Kirloskar Brothers"": ""positive""}",10
2319,Kwality among cheapest plays in dairy sector:  Ashish Maheshwari,"{""Kwality"": ""positive""}",10
2320,L&T Q3 net profit rises 9% at Rs 867 crore,"{""L&T"": ""positive""}",10
2321,La Opala sets record date for share sub-divison; stock rallies,"{""La Opala"": ""positive""}",10
2322,Lakshmi Vilas Banks net profits rises to Rs 25.23 crore,"{""Lakshmi Vilas Bank"": ""positive""}",10
2323,LG Electronics shares surge on speculation of Google stake buy,"{""LG Electronics"": ""positive""}",10
2324,Liberty Shoes Q3 net up 30.76% at Rs 3.40 crore,"{""Liberty Shoes"": ""positive""}",10
2325,LIC likely to pick 5 per cent stake in BHEL,"{""BHEL"": ""positive"", ""LIC"": ""neutral""}",10
2326,"Liquidity will remain comfortable: Dipan Mehta, Member, BSE and NSE","{""BSE"": ""neutral"", ""NSE"": ""neutral""}",10
2327,Little sign of election nerves as sterling hits 2-month high,"{""sterling"": ""positive""}",10
2328,Lodestone deal much needed inorganic booster for Infosys: Prabhudas Lilladher,"{""Infosys"": ""positive"", ""Lodestone"": ""neutral""}",10
2329,Maintain 'Buy' on Wipro with target of Rs 528: Sharekhan,"{""Wipro"": ""positive""}",10
2330,Man Industries rallies 5% on Rs 500 crore orders win,"{""Man Industries"": ""positive""}",10
2331,Manappuram Finance is an interesting stock to hold: Deepak Mohoni,"{""Manappuram Finance"": ""positive""}",10
2332,Manappuram Finance to buy stake in Asirvad Microfinance; stock gains,"{""Manappuram Finance"": ""positive"", ""Asirvad Microfinance"": ""neutral""}",10
2333,Market is getting ready for a big move: Ashwani Gujral,"{""Market"": ""positive""}",10
2334,"Markets at new record levels on FII flows, global trend","{""Markets"": ""positive""}",10
2335,Markets high on hope; top picks for 2014 from Sharekhan,"{""Markets"": ""positive"", ""Sharekhan"": ""neutral""}",10
2336,Markets@fresh record highs: Top ten multi-bagger stocks for your portfolio,"{""Markets"": ""positive""}",10
2337,Mascot Powersys to expand nine-fold to 74 outlets; plans IPO,"{""Mascot Powersys"": ""neutral""}",10
2338,Max India Q1 net profit up at Rs 537 crore,"{""Max India"": ""positive""}",10
2339,MCFL Q3 net jumps over three-fold to Rs 27.95 crore,"{""MCFL"": ""positive""}",10
2340,Media space looks more promising than last year: Taher Badshah,"{""Media space"": ""positive""}",10
2341,Merger hopes trigger a rally in 3 associates of SBI,"{""SBI"": ""positive""}",10
2342,"Mid-cap pharma stocks can return 20% in 2014, say analysts","{""Mid-cap pharma stocks"": ""positive""}",10
2343,Mid-sized banking funds deliver returns of 50-84% over six months,"{""Mid-sized banking funds"": ""positive""}",10
2344,Mid-sized IT firms may post moderate growth in June quarter,"{""Mid-sized IT firms"": ""positive""}",10
2345,Mirc Electronics hits upper circuit on Videocon stake buy buzz,"{""Mirc Electronics"": ""positive"", ""Videocon"": ""neutral""}",10
2346,MM Forgings at 20% upper circuit on strong Q1 results,"{""MM Forgings"": ""positive""}",10
2347,MMTC Q3 net rises 12.8 pc to Rs 28.10 crore,"{""MMTC"": ""positive""}",10
2348,Monnet Ispat bags Utkal-C coal block; stock rallies over 13%,"{""Monnet Ispat"": ""positive""}",10
2349,Monsanto India jumps on report Modi government pursuing GM crops,"{""Monsanto India"": ""positive""}",10
2350,Morgan Stanley upgrades Axis Bank to Overweight; ups target price,"{""Axis Bank"": ""positive"", ""Morgan Stanley"": ""neutral""}",10
2351,Moser Baer Q3 net profit up at Rs 3.23 cr,"{""Moser Baer"": ""positive""}",10
2352,Mphasis no more a one-trick pony; stay bullish: Amit Khurana,"{""Mphasis"": ""positive""}",10
2353,Multibagger idea: JM Financial sees 40% upside in Tech Mahindra,"{""Tech Mahindra"": ""positive"", ""JM Financial"": ""neutral""}",10
2354,Mundra Port FY11 net up 35.82% at Rs 918.14 cr,"{""Mundra Port"": ""positive""}",10
2355,New launches help Garware Wall Ropes cast its net wider,"{""Garware Wall Ropes"": ""positive""}",10
2356,New RBI norms to aid higher earnings of banks:Credit Suisse,"{""RBI"": ""neutral"", ""Credit Suisse"": ""neutral""}",10
2357,Nickel moves up in futures trade on rising spot demand,"{""Nickel"": ""positive""}",10
2358,Nifty hits fresh lifetime high; top fifteen stocks in focus,"{""Nifty"": ""positive""}",10
2359,"Nifty hits fresh record high; touches 6,822 in intra-day deals","{""Nifty"": ""positive""}",10
2360,Nikkei rises to 1 1/2-week high; financials track U.S. counterparts,"{""Nikkei"": ""positive""}",10
2361,Nirma settles over 7% on BSE after scaling 32-month high,"{""Nirma"": ""positive"", ""BSE"": ""neutral""}",10
2362,Nitesh Estates post Q2 net profit of Rs 15.2 crore,"{""Nitesh Estates"": ""neutral""}",10
2363,Offshore Chinese yuan moves off 4-month lows as shares rise,"{""Offshore Chinese yuan"": ""positive""}",10
2364,Oil companies will be investors preferred choice soon: Sudip Bandyopadhyay,"{""Oil companies"": ""positive""}",10
2365,Oil stocks on fire; what to expect from OPEC meet,"{""Oil"": ""positive""}",10
2366,OMCs brave market volatility;surge to 52-week high on positive outlook,"{""OMCs"": ""positive""}",10
2367,"Once Axis Bank crosses 1250, strength will return: Rajat Bose","{""Axis Bank"": ""positive""}",10
2368,ONGC has potential to double in next two years: Analysts,"{""ONGC"": ""positive""}",10
2369,OnMobile expects to raise Rs 47.6 crore through open offer,"{""OnMobile"": ""neutral""}",10
2370,"Open offer of Zuari, Deepak 'fair & reasonable': MCFL IDC","{""MCFL IDC"": ""neutral""}",10
2371,"Operation to steady China stocks a success, but patient comatose","{""China stocks"": ""neutral""}",10
2372,"Optimistic on South-based sugar companies: G Chokkalingam, Centrum Wealth Management","{""South-based sugar companies"": ""positive"", ""Centrum Wealth Management"": ""neutral""}",10
2373,"Optimistic on the auto space: Sanjay Sinha, L&T Mutual Fund","{""auto space"": ""positive"", ""L&T Mutual Fund"": ""neutral""}",10
2374,Own cash rich companies from the IT space: Vijai Mantri,"{""IT space"": ""positive""}",10
2375,Pakistan stocks gain momentum as army intervenes to end crisis,"{""Pakistan stocks"": ""positive""}",10
2376,"Palm oil rises to 17-month high on inventory, weather woes","{""Palm oil"": ""positive""}",10
2377,Pantaloon Retail net profit at Rs 20 cr; stock up,"{""Pantaloon Retail"": ""positive""}",10
2378,Parsvnath Dec qtr Net up 26% to Rs 31.37 cr,"{""Parsvnath"": ""positive""}",10
2379,Patel Logistics at 20% upper circuit on tie-up with Amazon,"{""Patel Logistics"": ""positive"", ""Amazon"": ""neutral""}",10
2380,Perfect Infraengineers becomes 32nd stock to list on NSE Emerge,"{""Perfect Infraengineers"": ""positive""}",10
2381,Persistent Systems: Strong momentum in the software services augurs well,"{""Persistent Systems"": ""positive""}",10
2382,PFC tax free Bonds oversubscribed 12.09x on the first day,"{""PFC"": ""positive""}",10
2383,Pfizer Q2 net profit up 33% at Rs 69.59 crore,"{""Pfizer"": ""positive""}",10
2384,"PGCIL annual profit climbs 32 pc to Rs 2,696.89 cr","{""PGCIL"": ""positive""}",10
2385,Phoenix Mills: Improved sentiments make the stock a good buy,"{""Phoenix Mills"": ""positive""}",10
2386,Polaris rallies as tech majors make beeline for controlling stake,"{""Polaris"": ""positive""}",10
2387,"Post Q4 earnings, telecoms appear safer bets in volatile market","{""telecoms"": ""positive""}",10
2388,"Post-integration, Tech Mahindra will be a good buy: Ashit Suri","{""Tech Mahindra"": ""positive""}",10
2389,Power Finance Q1 net up 42% to Rs 972 crore,"{""Power Finance"": ""positive""}",10
2390,PowerGrid PAT up 41.62pc at Rs 651.4 cr in July-Sep,"{""PowerGrid"": ""positive""}",10
2391,Praj Industries rallies over 5% on Rs 235 crore order,"{""Praj Industries"": ""positive""}",10
2392,Praj might bounce back if the market permits: Deepak Mohoni,"{""Praj"": ""positive""}",10
2393,Pre-election rally likely; Nifty may touch 6500 level: Ambareesh Baliga,"{""Nifty"": ""positive""}",10
2394,Prefer Tata Motors among largecap auto stocks: P Phani Sekhar,"{""Tata Motors"": ""positive""}",10
2395,Pre-market: Nifty likely to bounce back on positive global cues,"{""Nifty"": ""positive""}",10
2396,Pre-market: Nifty seen opening higher on US Federal Reserve outlook,"{""Nifty"": ""positive""}",10
2397,Prime Focus Tech raises Rs 45 crore to fund expansion,"{""Prime Focus Tech"": ""positive""}",10
2398,Provogue's net rises 24.7% to Rs 26 cr in FY10-11,"{""Provogue"": ""positive""}",10
2399,PSBs a good bet from a 2-3-year perspective: Angel Broking,"{""PSB"": ""positive""}",10
2400,"Punj Lloyd is a buy: Rohit Shinde, Nimbus Wealth Management","{""Punj Lloyd"": ""positive"", ""Nimbus Wealth Management"": ""neutral""}",10
2401,Punj Lloyd rallies on reports of Medanta Medicity stake sale,"{""Punj Lloyd"": ""positive""}",10
2402,R Systems share jump post 26% acquisition offer from investor,"{""R Systems"": ""positive""}",10
2403,Radico Khaitan Q2 net up 94.02% to Rs 18.84 crore,"{""Radico Khaitan"": ""positive""}",10
2404,Rail-linked stocks surge up to 20% on Narendra Modi effect,"{""Rail-linked stocks"": ""positive""}",10
2405,Rajesh Exports net surges over-two fold to Rs 237 crore,"{""Rajesh Exports"": ""positive""}",10
2406,"Rajesh Exports surges 6%, bags Rs 125 crore export order","{""Rajesh Exports"": ""positive""}",10
2407,Ranbaxy could be the next big trigger for Sun Pharmaceutical,"{""Ranbaxy"": ""neutral"", ""Sun Pharmaceutical"": ""neutral""}",10
2408,Ranbaxy may move up to 435 to 437: Rajat Bose,"{""Ranbaxy"": ""positive""}",10
2409,"REC board approves raising Rs 3,000 cr through tax-free bonds","{""REC"": ""positive""}",10
2410,"Recommend Adani and Tata Power: Mehraboon Irani, Nirmal Bang Securities","{""Adani"": ""positive"", ""Tata Power"": ""positive"", ""Nirmal Bang Securities"": ""neutral""}",10
2411,Recommend looking at telecom stocks from long-term view: Anand Tandon,"{""telecom stocks"": ""positive""}",10
2412,Refined soya oil futures gain 0.34% as demand picks up,"{""Refined soya oil futures"": ""positive""}",10
2413,Refinery stocks becoming hot-picks due to improving gross refining margins,"{""Refinery stocks"": ""positive""}",10
2414,Remain bullish on housing real estate companies : Deven Choksey,"{""housing real estate companies"": ""positive""}",10
2415,"Robust loan growth, margin lift HDFC Bank Q2 net 33%","{""HDFC Bank"": ""positive""}",10
2416,RSWM Dec qtr net up four-fold to Rs 39.89 cr,"{""RSWM"": ""positive""}",10
2417,Rupee hits day high of 60.45 against the US dollar,"{""Rupee"": ""positive"", ""dollar"": ""neutral""}",10
2418,Rupee near 10-month high on WPI; RBI seen stepping in,"{""Rupee"": ""positive"", ""RBI"": ""neutral""}",10
2419,"Rupee opens with a bang, hits 58.79 versus US dollar","{""Rupee"": ""positive"", ""dollar"": ""neutral""}",10
2420,Rupee rises most among EM currencies since August 2013 low,"{""Rupee"": ""positive""}",10
